Point ID,Loss,points_0,points_1,points_2,points_Magnitude,RegionSize,RegionSpan,RegionType,SegmentationId
4575,2.00358,0.830388,-0.557186,0.442797,1.09365,4607,2.02527,1,159
4576,1.04984,0.83108,-0.556152,0.231814,1.02652,4607,2.02527,1,159
4577,1.81391,0.831772,-0.555117,0.400838,1.07734,4607,2.02527,1,159
4578,1.67206,0.832462,-0.554082,0.369458,1.06607,4607,2.02527,1,159
4579,1.37317,0.833151,-0.553046,0.30334,1.045,4607,2.02527,1,159
4580,1.24697,0.833838,-0.552009,0.275421,1.03724,4607,2.02527,1,159
4581,1.04485,0.834524,-0.550971,0.230709,1.02627,4607,2.02527,1,159
4582,0.976479,0.835209,-0.549932,0.215585,1.02297,4607,2.02527,1,159
4583,1.19894,0.835893,-0.548893,0.264797,1.03446,4607,2.02527,1,159
4584,1.36583,0.836575,-0.547852,0.301717,1.04453,4607,2.02527,1,159
4585,1.83562,0.837256,-0.546811,0.40564,1.07914,4607,2.02527,1,159
4586,0.982378,0.837936,-0.545769,0.21689,1.02325,4607,2.02527,1,159
4587,0.635159,0.838614,-0.544726,0.140079,1.00976,121,1.28633,2,168
4588,1.42606,0.839291,-0.543682,0.31504,1.04845,4607,2.02527,1,159
4589,1.7314,0.839967,-0.542637,0.382586,1.07069,4607,2.02527,1,159
4590,1.94121,0.840641,-0.541592,0.428999,1.08814,4607,2.02527,1,159
4591,1.50354,0.841315,-0.540546,0.332179,1.05373,4607,2.02527,1,159
4592,2.14463,0.841987,-0.539498,0.473998,1.10665,4607,2.02527,1,159
4593,1.18742,0.842657,-0.53845,0.262247,1.03382,4607,2.02527,1,159
4594,0.555091,0.843326,-0.537402,0.122367,1.00746,1,1.7012,2,123
4595,1.5279,0.843994,-0.536352,0.337568,1.05544,4607,2.02527,1,159
4596,1.77184,0.844661,-0.535301,0.391531,1.07392,4607,2.02527,1,159
4597,2.42185,0.845326,-0.53425,0.535325,1.13427,4607,2.02527,1,159
4598,1.76523,0.84599,-0.533198,0.390069,1.07338,4607,2.02527,1,159
4599,0.725613,0.846653,-0.532145,0.160089,1.01273,4607,2.02527,1,159
4600,2.09374,0.847315,-0.531091,0.462742,1.10188,4607,2.02527,1,159
4601,0.863572,0.847975,-0.530037,0.190608,1.018,4607,2.02527,1,159
4602,1.90772,0.848634,-0.528981,0.42159,1.08524,4607,2.02527,1,159
4603,2.28286,0.849291,-0.527925,0.504577,1.12009,4607,2.02527,1,159
4604,1.72613,0.849947,-0.526868,0.38142,1.07027,4607,2.02527,1,159
4605,2.05672,0.850602,-0.52581,0.454552,1.09846,4607,2.02527,1,159
4606,1.87114,0.851256,-0.524751,0.413498,1.08212,4607,2.02527,1,159
4607,1.52501,0.851908,-0.523691,0.33693,1.05524,4607,2.02527,1,159
4608,0.815221,0.852559,-0.522631,0.179912,1.01606,4607,2.02527,1,159
4609,1.23156,0.853208,-0.52157,0.272014,1.03634,4607,2.02527,1,159
4610,1.28147,0.853857,-0.520508,0.283053,1.03929,4607,2.02527,1,159
4611,4.5224,0.854504,-0.519445,1,1.41421,4607,2.02527,1,159
4612,1.61783,0.855149,-0.518382,0.357461,1.06197,4607,2.02527,1,159
4613,2.50093,0.855794,-0.517317,0.552819,1.14263,4607,2.02527,1,159
4614,1.72024,0.856437,-0.516252,0.380117,1.06981,4607,2.02527,1,159
4615,0.529016,0.857078,-0.515186,0.116599,1.00677,1,0.0571125,2,113
4616,0.705291,0.857719,-0.514119,0.155594,1.01203,4607,2.02527,1,159
4617,1.74745,0.858358,-0.513052,0.386135,1.07196,4607,2.02527,1,159
4618,3.0902,0.858995,-0.511983,0.683174,1.21108,4607,2.02527,1,159
4619,1.10305,0.859632,-0.510914,0.243584,1.02924,4607,2.02527,1,159
4620,1.27863,0.860267,-0.509844,0.282426,1.03912,4607,2.02527,1,159
4621,0.973144,0.8609,-0.508774,0.214847,1.02282,4607,2.02527,1,159
4622,1.34812,0.861533,-0.507702,0.297797,1.0434,4607,2.02527,1,159
4623,0.712763,0.862164,-0.50663,0.157247,1.01229,4607,2.02527,1,159
4624,0.789333,0.862793,-0.505557,0.174185,1.01506,4607,2.02527,1,159
4625,0.893967,0.863422,-0.504483,0.197332,1.01928,4607,2.02527,1,159
4626,1.4077,0.864049,-0.503408,0.310977,1.04724,4607,2.02527,1,159
4627,1.32668,0.864674,-0.502333,0.293054,1.04206,4607,2.02527,1,159
4628,1.58234,0.865299,-0.501257,0.349612,1.05935,4607,2.02527,1,159
4629,1.64594,0.865922,-0.500179,0.363681,1.06408,4607,2.02527,1,159
4630,2.10974,0.866543,-0.499102,0.466282,1.10337,4607,2.02527,1,159
4631,1.36211,0.867164,-0.498023,0.300894,1.04429,4607,2.02527,1,159
4632,1.07869,0.867783,-0.496944,0.238196,1.02798,4607,2.02527,1,159
4633,1.28396,0.8684,-0.495864,0.283605,1.03944,4607,2.02527,1,159
4634,1.82282,0.869017,-0.494783,0.402808,1.07808,4607,2.02527,1,159
4635,1.31505,0.869631,-0.493701,0.290482,1.04134,4607,2.02527,1,159
4636,2.63499,0.870245,-0.492619,0.582474,1.15727,4607,2.02527,1,159
4637,1.68543,0.870857,-0.491536,0.372417,1.0671,4607,2.02527,1,159
4638,1.7144,0.871468,-0.490452,0.378825,1.06935,4607,2.02527,1,159
4639,0.640562,0.872078,-0.489367,0.141275,1.00993,4607,2.02527,1,159
4640,0.735691,0.872686,-0.488282,0.162319,1.01309,4607,2.02527,1,159
4641,1.6335,0.873293,-0.487196,0.360929,1.06314,4607,2.02527,1,159
4642,1.00825,0.873898,-0.486109,0.222613,1.02448,4607,2.02527,1,159
4643,1.76446,0.874502,-0.485021,0.389899,1.07332,4607,2.02527,1,159
4644,1.21241,0.875105,-0.483933,0.267776,1.03523,4607,2.02527,1,159
4645,1.0315,0.875707,-0.482844,0.227757,1.02561,4607,2.02527,1,159
4646,1.00267,0.876307,-0.481754,0.221379,1.02421,4607,2.02527,1,159
4647,0.872038,0.876905,-0.480663,0.192481,1.01836,4607,2.02527,1,159
4648,0.817023,0.877503,-0.479571,0.180311,1.01613,4607,2.02527,1,159
4649,1.04388,0.878099,-0.478479,0.230495,1.02622,4607,2.02527,1,159
4650,0.556448,0.878693,-0.477387,0.122667,1.0075,2,1.40583,2,177
4651,1.07133,0.879287,-0.476293,0.236567,1.0276,4607,2.02527,1,159
4652,2.1432,0.879879,-0.475198,0.473682,1.10651,4607,2.02527,1,159
4653,0.614624,0.880469,-0.474103,0.135537,1.00914,121,1.28633,2,168
4654,1.96477,0.881058,-0.473008,0.43421,1.0902,4607,2.02527,1,159
4655,1.55769,0.881646,-0.471911,0.344158,1.05757,4607,2.02527,1,159
4656,1.57033,0.882233,-0.470814,0.346955,1.05848,4607,2.02527,1,159
4657,1.48378,0.882818,-0.469716,0.327808,1.05236,4607,2.02527,1,159
4658,1.30318,0.883401,-0.468617,0.287857,1.04061,4607,2.02527,1,159
4659,1.30459,0.883984,-0.467517,0.288169,1.04069,4607,2.02527,1,159
4660,1.09931,0.884565,-0.466417,0.242758,1.02904,4607,2.02527,1,159
4661,1.08759,0.885144,-0.465316,0.240165,1.02844,4607,2.02527,1,159
4662,2.28577,0.885723,-0.464215,0.505221,1.12038,4607,2.02527,1,159
4663,0.918495,0.8863,-0.463112,0.202758,1.02035,4607,2.02527,1,159
4664,1.75306,0.886875,-0.462009,0.387378,1.07241,4607,2.02527,1,159
4665,1.05374,0.887449,-0.460905,0.232677,1.02671,4607,2.02527,1,159
4666,0.84599,0.888022,-0.459801,0.186719,1.01728,4607,2.02527,1,159
4667,2.02126,0.888594,-0.458695,0.446708,1.09524,4607,2.02527,1,159
4668,0.70264,0.889163,-0.45759,0.155007,1.01194,4607,2.02527,1,159
4669,0.797531,0.889732,-0.456483,0.175999,1.01537,4607,2.02527,1,159
4670,0.740018,0.890299,-0.455376,0.163276,1.01324,4607,2.02527,1,159
4671,1.42921,0.890865,-0.454268,0.315737,1.04866,4607,2.02527,1,159
4672,0.630335,0.89143,-0.453159,0.139012,1.00962,121,1.28633,2,168
4673,1.90482,0.891993,-0.452049,0.42095,1.08499,4607,2.02527,1,159
4674,1.06385,0.892555,-0.450939,0.234913,1.02722,4607,2.02527,1,159
4675,1.15067,0.893115,-0.449828,0.254119,1.03178,4607,2.02527,1,159
